,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y,Luminosity
42,53,2MASS J04362788-4114465,142.0,3.5538291740016e-05,0.020803661312929995,Tau Ceti,011.9,0.783,0.893,0.52
43,54,2MASS J04390101-2353083 [de],29.5,4.3739435987712e-05,0.010243427143929998,Delta Pavonis,019.92,0.991,1.22,1.22
44,56,2MASS J04433764+0002040,82.0,2.0047241494368e-05,0.018797216820819997,V382 Carinae,"08,900",20,485,"212,000"
45,57,2MASS J04455387-3048204 [de],42.0,5.8319247983616005e-05,0.010560234168999998,Eta Carinae,"07,500",100,60–881,"5,000,000"
46,58,2MASS J04510093-3402150 [de],69.0,9.476877797337601e-05,0.7603368601679998,Delta Cephei,0887,4.5,44.5,"2,000"
47,59,2MASS J05002100+0330501 [de],44.0,5.8319247983616005e-05,0.010560234168999998,Mu Cephei,"06,000",19.2,972,"135,000"
48,60,2MASS J05012406-0010452 [de],64.0,1.9136003244624002e-05,0.014573123153219996,Titawin,044.25,1.27,1.48,3.57
49,61,2MASS J05160945-0445499 [de],73.0,4.2828197737968e-05,0.010243427143929998,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
50,62,2MASS J0523−1403,40.0,6.196420098259201e-05,0.010665836510689999,P Cygni,"05,545",30,76,"610,000"
51,64,SDSS J053951.99-005902.0,41.62,5.558553323438401e-05,0.010665836510689999,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
52,66,LSR 0602+3910 [de],34.6,2.5514670992832003e-05,0.014889930178289996,R Doradus,0178,0.7 - 1.0,298,"4,350"
53,67,2MASS J06085283-2753583,102.0,3.4627053490272e-05,0.015945953595189997,Polaris Australis,0281,1.59,3.74,38
54,70,2MASS J06244595-4521548 [de],39.0,5.1029341985664006e-05,0.010454631827309999,Mira,0300,1.2,370,"9,000"
55,71,2MASS J06411840-4322329 [de],65.0,6.1052962732848e-05,0.010665836510689999,RW Cephei,"014,000",13.9,"1,158","417,000"
56,72,DENIS-P J0652197-253450 [de],51.0,6.834286873080001e-05,0.01108824587745,Lacaille 8760,012.87,0.6,0.51,0.072
57,74,2MASS J07075327-4900503,60.0,6.5609153981568e-05,0.010877041194069998,HD 140283,0190,?,1.4,3.83
58,75,UGPS J072227.51-054031.2,13.4,2.3692194493344003e-05,0.010349029485619998,II Pegasi,0130,0.8,3.4,1.06
59,76,2MASSI J0727182+171001 [de],29.6,3.7360768239503996e-05,0.009926620118859997,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
60,77,2MASS J07290002-3954043 [de],25.8,3.3715815240528e-05,0.009926620118859997,Pistol Star,"025,000",100,320,"1,700,000"
61,78,SDSS J074201.41+205520.5 [de],49.0,3.9183244738992006e-05,0.009926620118859997,S Doradus,"0169,000",24,380,"910,000"
62,80,DENIS-P J0751164-253043 [de],55.0,6.4697915731824e-05,0.010877041194069998,Barnard's Star,05.98,0.14,0.20,0.0035
63,81,2MASS J07522390+1612157,60.0,0.000183158888198544,0.7180959234919999,Luhman 16,06.52,0.04,?,?
64,82,DENIS J081730.0-615520,16.1,4.0094482988736e-05,0.009926620118859997,Proxima Centauri,04.25,0.12,0.15,0.0017
65,85,2MASS J08251968+2115521 [de],35.0,4.7384388986688006e-05,0.010349029485619998,Melnick 42,"0163,000",189,21.1,"3,600,000"
66,86,SDSSp J083008.12+482847.4 [de],43.0,4.3739435987712e-05,0.010454631827309999,WR 102,"018,134",19,0.39,"282,000"
67,87,LHS 2021,55.0,8.0188965977472e-05,0.012144269294349998,VFTS 352,"0164,000",57.48,14.47,"330,000"
68,88,SDSS J083048.80+012831.1 [de],77.0,4.1916959488224004e-05,0.010137824802239999,YBP 1194,"02,772",1.01,0.99,0.98
69,89,2MASSI J0835425-081923 [de],23.53,5.649677148412801e-05,0.010560234168999998,Gliese 1214,047.5,0.16,0.21,0.0033
70,90,2MASSI J0847287-153237 [de],43.0,5.8319247983616005e-05,0.010560234168999998,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
71,91,2MASS J08533619-0329321,27.6,7.0165345230288e-05,0.01129945056083,VB 10,018.72,0.075,0.10,0.0004
72,92,2MASSI J0859254-194926 [de],50.0,4.5561912487199996e-05,0.010349029485619998,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
73,94,2MASSI J0937347+293142,20.0,3.8272006489248004e-05,0.009926620118859997,2MASS J0523-1403,040.3,0.07,0.086,0.00013
74,95,2MASS 0939−2448,17.4,2.9159623991808002e-05,0.010032222460549998,WISE 0855−0714,07.27,0.003,?,?
75,96,2MASS J09490860-1545485 [de],59.0,4.4650674237456e-05,0.010137824802239999,Icarus,"014,400,000,000",33,?,"850,000"
